          1.86822619         -0.87400603         -0.04753857
          0.02347953          0.00389149          0.00157400
         -0.45131969          0.03566103         -0.00462881
          0.07009381          0.01644623          0.00692024
          0.00000000          0.00000000          0.00000000
          0.00000000          0.00000000          0.00000000
          0.00000000          0.00000000          0.00000000
          0.00000000          0.00000000          0.00000000
          2.31761566          0.40286393         -0.09553734
          0.00264320          0.00656839          0.00240645
          0.00000000          1.08053682          0.00000000
          0.00000000          0.01255135          0.00000000
          0.00000000          1.28130869          0.00124081
          0.00000000          0.00853350          0.00159221
          1.15890173         -0.00000000         -0.06610907
          0.02388603          0.00000000          0.00378452
          0.00000000         -2.52978827         -0.09482190
          0.00000000          0.01658019          0.00350649
          0.00000000          2.09096402          0.00000000
          0.00000000          0.05716438          0.00000000
          0.00000000         -0.49322151         -0.03529122
          0.00000000          0.00747331          0.00240478
          0.00000000         -0.84056114         -0.14570101
          0.00000000          0.01423301          0.00453125
         -0.95444821         -0.23074490         -0.03743724
          0.00378757          0.00359704          0.00076274
         -0.00000000          0.85374748          0.03914411
          0.00000000          0.01863165          0.00175522
         -0.00000000          4.00430931         -0.11384925
          0.00000000          0.08771545          0.00428546
          0.00000000          1.76110044          0.00000000
          0.00000000          0.09990365          0.00000000
          0.00000000          0.00000000          0.00000000
          0.00000000          0.00000000          0.00000000
          0.00000000          0.72183127          0.00000000
          0.00000000          0.01221606          0.00000000
         -0.00193809         -0.00372117          0.00441044
          0.00055598          0.00024322          0.00016927
          0.00000000          0.00000000          0.00000000
          0.00000000          0.00000000          0.00000000

 Chi²pp   3101.2613740318343      Npp        3002 Chi²pp/Npp   1.0330650812897515     
 Chi²np   4059.3004583101424      Nnp        3715 Chi²np/Nnp   1.0926784544576427     
 Chi²   7160.5618323419767      N        6717 Chi²/N   1.0660357052764593     

           1           1           1           1   5.5128847543067870E-004
           1           1           1           2  -8.8363230285077039E-005
           1           1           1           3   2.5014249990429895E-005
           1           1           2           1  -4.9677907721012624E-004
           1           1           2           2   8.9689788960758745E-005
           1           1           2           3  -2.9842625196189215E-005
           1           1           5           1  -1.0256366442959474E-005
           1           1           5           2   9.1584906013168070E-006
           1           1           5           3  -3.8665369897533600E-006
           1           1           6           2   5.5597782486114438E-006
           1           1           7           2  -3.6053194958428689E-005
           1           1           7           3   6.1731907650911703E-006
           1           1           8           1  -2.1604443840729471E-005
           1           1           8           3   4.1988873295538323E-006
           1           1           9           2  -1.0928144261627083E-005
           1           1           9           3  -2.5709653627170705E-006
           1           1          10           2   5.4375417705039970E-005
           1           1          11           2   3.0979823605038555E-005
           1           1          11           3  -9.0836517179824244E-006
           1           1          12           2  -2.7998984089752669E-005
           1           1          12           3   1.0606337994199435E-005
           1           1          13           1  -1.4784986963949860E-005
           1           1          13           2   1.0120163015662548E-005
           1           1          13           3  -2.9490550697768862E-007
           1           1          14           2   7.0229959474661568E-005
           1           1          14           3  -1.1559630011386489E-006
           1           1          15           2   4.0872651435844715E-004
           1           1          15           3  -2.0786385385283202E-005
           1           1          16           2  -2.3531463071922804E-004
           1           1          18           2   7.6244481034180903E-006
           1           1          19           1  -1.4889455574028330E-006
           1           1          19           2   6.4284020477392972E-007
           1           1          19           3   3.3954416977955345E-007
           1           2           1           1  -8.8363230363365394E-005
